规则格网体积计算
	基本信息
--------------------------------------------------------------------------------------------------
基准高程:9
单位网格边长:1
网格纵向个数:56
网格横向个数:26
单位网格总数:1456
总体积:3055.323
填方体积:0
挖方体积:3055.323

	凸包点信息
--------------------------------------------------------------------------------------------------
点号          X坐标         Y坐标         高程          
8,10           3754.116       2853.174       12.9050733696037 3.90507336960373
8,11           3755.116       2853.174       13.0249899561551 4.0249899561551
8,12           3756.116       2853.174       13.1650627120932 4.16506271209316
8,13           3757.116       2853.174       13.2587278424532 4.25872784245316
8,14           3758.116       2853.174       13.2825818290587 4.28258182905865
8,15           3759.116       2853.174       13.29633742291 4.29633742291004
8,16           3760.116       2853.174       13.3965292016176 4.39652920161759
8,17           3761.116       2853.174       13.4670458314653 4.46704583146533
8,18           3762.116       2853.174       13.4899523546742 4.48995235467418
8,19           3763.116       2853.174       13.541792591428 4.54179259142804
8,20           3764.116       2853.174       13.5471792196315 4.54717921963153
8,21           3765.116       2853.174       13.4880420791933 4.48804207919331
8,22           3766.116       2853.174       13.4197433927182 4.41974339271823
8,23           3767.116       2853.174       13.3676032095811 4.3676032095811
8,24           3768.116       2853.174       13.2563459464196 4.25634594641964
8,25           3769.116       2853.174       13.0274053249386 4.0274053249386
8,26           3770.116       2853.174       12.7219400175341 3.72194001753412
8,27           3771.116       2853.174       12.4297739048262 3.4297739048262
8,28           3772.116       2853.174       12.2013519251298 3.20135192512978
8,29           3773.116       2853.174       12.0018751543198 3.00187515431977
8,30           3774.116       2853.174       11.7646246364434 2.76462463644341
8,31           3775.116       2853.174       11.5804207735807 2.58042077358066
8,32           3776.116       2853.174       11.4913512794944 2.49135127949437
8,33           3777.116       2853.174       11.4015349540699 2.40153495406987
8,34           3778.116       2853.174       11.2971457540274 2.29714575402744
8,35           3779.116       2853.174       11.177757282028 2.17775728202798
8,36           3780.116       2853.174       11.0892201147064 2.08922011470636
8,37           3781.116       2853.174       11.0794554149263 2.0794554149263
8,38           3782.116       2853.174       11.0442079246616 2.04420792466161
8,39           3783.116       2853.174       10.972547542457 1.97254754245699
8,40           3784.116       2853.174       10.8105957749816 1.81059577498158
8,41           3785.116       2853.174       10.7572543462322 1.75725434623216
8,42           3786.116       2853.174       10.8857859788752 1.88578597887522
8,43           3787.116       2853.174       10.9478598690365 1.94785986903648
8,44           3788.116       2853.174       10.929194224102 1.92919422410204
8,45           3789.116       2853.174       10.8511872744538 1.85118727445381
8,46           3790.116       2853.174       10.9063983293002 1.90639832930023
8,47           3791.116       2853.174       11.0399617322735 2.03996173227349
8,48           3792.116       2853.174       11.0844491810926 2.08444918109264
8,49           3793.116       2853.174       11.0595515212754 2.05955152127542
9,1            3745.116       2854.174       11.7095564236336 2.70955642363356
9,2            3746.116       2854.174       12.0413007678054 3.04130076780539
9,3            3747.116       2854.174       12.2519009138895 3.25190091388947
9,4            3748.116       2854.174       12.3790591559087 3.37905915590872
9,5            3749.116       2854.174       12.54386522388 3.54386522387998
9,6            3750.116       2854.174       12.6699105564004 3.66991055640044
9,7            3751.116       2854.174       12.6882520176437 3.68825201764368
9,8            3752.116       2854.174       12.7669760630735 3.76697606307354
9,9            3753.116       2854.174       12.8789802842919 3.87898028429193
9,10           3754.116       2854.174       12.9548342733473 3.9548342733473
9,11           3755.116       2854.174       13.1032724465968 4.10327244659685
9,12           3756.116       2854.174       13.3358864285598 4.33588642855985
9,13           3757.116       2854.174       13.5572015819135 4.55720158191346
9,14           3758.116       2854.174       13.6223668336758 4.62236683367576
9,15           3759.116       2854.174       13.5494787535574 4.54947875355737
9,16           3760.116       2854.174       13.5547595689732 4.55475956897324
9,17           3761.116       2854.174       13.7034642445303 4.70346424453031
9,18           3762.116       2854.174       13.8846468993159 4.88464689931587
9,19           3763.116       2854.174       13.8574449984063 4.85744499840631
9,20           3764.116       2854.174       13.7523132920839 4.75231329208389
9,21           3765.116       2854.174       13.9395813354987 4.93958133549872
9,22           3766.116       2854.174       13.9701333430171 4.97013334301709
9,23           3767.116       2854.174       13.7869865600801 4.78698656008015
9,24           3768.116       2854.174       13.8085704072071 4.80857040720707
9,25           3769.116       2854.174       13.4896827118879 4.48968271188787
9,26           3770.116       2854.174       12.8964810947832 3.89648109478321
9,27           3771.116       2854.174       12.5219010671886 3.52190106718864
9,28           3772.116       2854.174       12.2380010670087 3.23800106700869
9,29           3773.116       2854.174       11.9957671844287 2.99576718442868
9,30           3774.116       2854.174       11.7395982702164 2.73959827021641
9,31           3775.116       2854.174       11.542145626894 2.54214562689395
9,32           3776.116       2854.174       11.4484060112721 2.44840601127213
9,33           3777.116       2854.174       11.3637965595718 2.36379655957185
9,34           3778.116       2854.174       11.2868567590111 2.28685675901115
9,35           3779.116       2854.174       11.1754990762288 2.17549907622879
9,36           3780.116       2854.174       11.0579417841895 2.05794178418954
9,37           3781.116       2854.174       11.0547834951561 2.0547834951561
9,38           3782.116       2854.174       11.0452122468281 2.04521224682815
9,39           3783.116       2854.174       10.9876773177156 1.98767731771561
9,40           3784.116       2854.174       10.9758413424783 1.97584134247828
9,41           3785.116       2854.174       10.9378974791188 1.93789747911882
9,42           3786.116       2854.174       10.9255443300366 1.92554433003662
9,43           3787.116       2854.174       10.9596753474151 1.95967534741512
9,44           3788.116       2854.174       10.9232285568711 1.92322855687106
9,45           3789.116       2854.174       10.847319638287 1.84731963828697
9,46           3790.116       2854.174       10.9097818254081 1.9097818254081
9,47           3791.116       2854.174       11.0403402441469 2.0403402441469
9,48           3792.116       2854.174       11.0911642042378 2.09116420423783
9,49           3793.116       2854.174       11.0703901829395 2.07039018293949
9,50           3794.116       2854.174       10.9336712562565 1.93367125625649
9,51           3795.116       2854.174       10.7812049003592 1.78120490035919
10,1           3745.116       2855.174       11.9276144559838 2.92761445598382
10,2           3746.116       2855.174       12.1798149095625 3.17981490956247
10,3           3747.116       2855.174       12.4509935638672 3.45099356386722
10,4           3748.116       2855.174       12.7244055519116 3.72440555191161
10,5           3749.116       2855.174       12.9076837015517 3.90768370155173
10,6           3750.116       2855.174       12.9665495394636 3.96654953946363
10,7           3751.116       2855.174       12.8927749205937 3.89277492059373
10,8           3752.116       2855.174       12.844901772621 3.84490177262101
10,9           3753.116       2855.174       12.9055886409037 3.90558864090372
10,10          3754.116       2855.174       12.9930892880141 3.99308928801408
10,11          3755.116       2855.174       13.1846388038897 4.18463880388972
10,12          3756.116       2855.174       13.4975393132388 4.49753931323876
10,13          3757.116       2855.174       14.1606604293809 5.16066042938086
10,14          3758.116       2855.174       14.3269942802706 5.32699428027061
10,15          3759.116       2855.174       13.8243455895589 4.82434558955887
10,16          3760.116       2855.174       13.626053781266 4.62605378126603
10,17          3761.116       2855.174       13.7977564758616 4.79775647586162
10,18          3762.116       2855.174       14.0926486477396 5.09264864773956
10,19          3763.116       2855.174       13.979679664313 4.97967966431302
10,20          3764.116       2855.174       13.7882862882409 4.78828628824087
10,21          3765.116       2855.174       14.1106468037644 5.11064680376442
10,22          3766.116       2855.174       14.1823466436392 5.18234664363917
10,23          3767.116       2855.174       13.9328345267058 4.93283452670579
10,24          3768.116       2855.174       13.9999457557711 4.99994575577107
10,25          3769.116       2855.174       13.662760408154 4.66276040815397
10,26          3770.116       2855.174       12.965462860207 3.96546286020702
10,27          3771.116       2855.174       12.5301939062759 3.53019390627592
10,28          3772.116       2855.174       12.204235476733 3.20423547673304
10,29          3773.116       2855.174       11.9365727028058 2.93657270280585
10,30          3774.116       2855.174       11.6767527458448 2.67675274584483
10,31          3775.116       2855.174       11.4851819011518 2.48518190115175
10,32          3776.116       2855.174       11.3802629529654 2.38026295296543
10,33          3777.116       2855.174       11.3015422621764 2.30154226217641
10,34          3778.116       2855.174       11.2552351169383 2.25523511693831
10,35          3779.116       2855.174       11.1472910048911 2.14729100489113
10,36          3780.116       2855.174       10.9607336558337 1.96073365583369
10,37          3781.116       2855.174       10.9165559143696 1.9165559143696
10,38          3782.116       2855.174       10.9705432358185 1.9705432358185
10,39          3783.116       2855.174       10.9757305496221 1.97573054962211
10,40          3784.116       2855.174       10.9870034687658 1.98700346876578
10,41          3785.116       2855.174       10.9486648189368 1.94866481893681
10,42          3786.116       2855.174       10.9251143645348 1.92511436453483
10,43          3787.116       2855.174       10.9787822376126 1.97878223761255
10,44          3788.116       2855.174       11.0010851104496 2.00108511044956
10,45          3789.116       2855.174       11.0054749090794 2.00547490907935
10,46          3790.116       2855.174       11.0480494742088 2.04804947420882
10,47          3791.116       2855.174       11.1030858715099 2.10308587150987
10,48          3792.116       2855.174       11.1443294564055 2.14432945640551
10,49          3793.116       2855.174       11.1520881854981 2.15208818549806
10,50          3794.116       2855.174       11.0838937911591 2.08389379115906
10,51          3795.116       2855.174       10.996544232229 1.99654423222896
10,52          3796.116       2855.174       10.9764543640731 1.97645436407305
10,53          3797.116       2855.174       10.9840690935523 1.98406909355226
11,1           3745.116       2856.174       12.0539371796775 3.05393717967747
11,2           3746.116       2856.174       12.2728950482638 3.27289504826377
11,3           3747.116       2856.174       12.5980103057015 3.59801030570154
11,4           3748.116       2856.174       13.0739878081717 4.07398780817167
11,5           3749.116       2856.174       13.2688626212795 4.26886262127949
11,6           3750.116       2856.174       13.1366687034211 4.13666870342109
11,7           3751.116       2856.174       13.0062434578832 4.0062434578832
11,8           3752.116       2856.174       12.8892981654151 3.88929816541512
11,9           3753.116       2856.174       12.906686659246 3.90668665924601
11,10          3754.116       2856.174       13.0019316541268 4.00193165412682
11,11          3755.116       2856.174       13.1710434298957 4.17104342989567
11,12          3756.116       2856.174       13.4738039359705 4.47380393597054
11,13          3757.116       2856.174       14.2016263342266 5.20162633422663
11,14          3758.116       2856.174       14.3940680133901 5.39406801339012
11,15          3759.116       2856.174       13.8512257701399 4.85122577013992
11,16          3760.116       2856.174       13.5625281063649 4.56252810636491
11,17          3761.116       2856.174       13.5930461659254 4.59304616592543
11,18          3762.116       2856.174       13.7479212499157 4.74792124991567
11,19          3763.116       2856.174       13.6573745049473 4.65737450494732
11,20          3764.116       2856.174       13.5526634948036 4.55266349480358
11,21          3765.116       2856.174       13.7145176377397 4.71451763773967
11,22          3766.116       2856.174       13.7810265276402 4.78102652764016
11,23          3767.116       2856.174       13.7037731886448 4.7037731886448
11,24          3768.116       2856.174       13.9789269061775 4.97892690617748
11,25          3769.116       2856.174       13.7168323954273 4.7168323954273
11,26          3770.116       2856.174       12.9028359778174 3.90283597781743
11,27          3771.116       2856.174       12.4425815468209 3.44258154682094
11,28          3772.116       2856.174       12.1207178519971 3.1207178519971
11,29          3773.116       2856.174       11.8652380513473 2.86523805134731
11,30          3774.116       2856.174       11.6084646537812 2.6084646537812
